title,company,location,experience_level,years_experience_min,years_experience_max,degree_requirements,confidence_score,needs_review,source,url,skills_keywords,work_areas
Energy Systems Research Engineer,Gridmatic,"Cupertino, CA",Associate,,,"PhD, Master's, Associate's",1,FALSE,Lever API,https://jobs.lever.co/gridmatic/fef43ee6-b864-43bf-9f98-b8917c8b1f78,"Python, Machine Learning, Electrical Engineering, Battery Technology, Solar","Energy Storage, Renewable Energy, Grid & Transmission"
"Senior Analyst, Retail Operations",Gridmatic,Texas,Senior,4,4,Associate's,1,FALSE,Lever API,https://jobs.lever.co/gridmatic/f240d872-298e-4e4b-92f0-3f5ea1aba701,"Python, SQL, Machine Learning, Battery Technology, Solar, Excel, Communication","Energy Storage, Renewable Energy"
"Senior Software Engineer, Data Infrastructure",Gridmatic,"Cupertino, CA",Senior,4,4,Associate's,1,FALSE,Lever API,https://jobs.lever.co/gridmatic/c3bb3e8f-fa80-4ff8-9907-dad0f39e4a18,"Python, JavaScript, Go, GCP, Kubernetes, Terraform, Machine Learning, Battery Technology, Solar","Energy Storage, Renewable Energy, Climate Data"
"Senior Software Engineer, Platform",Gridmatic,"Cupertino, CA",Senior,,,Associate's,1,FALSE,Lever API,https://jobs.lever.co/gridmatic/6a1f912b-be0b-4e0b-bf4f-6c85cdda42ad,"Python, Java, Go, Rust, AWS, Azure, GCP, Kubernetes, Terraform, Machine Learning, Battery Technology, Solar, Communication","Energy Storage, Renewable Energy"
"Software Engineer, Energy Sales Platform",Gridmatic,"Cupertino, CA",Associate,,,Associate's,1,FALSE,Lever API,https://jobs.lever.co/gridmatic/79bc50a9-8e39-4c0c-ab64-5d4e609d9b65,"Python, Machine Learning, Battery Technology, Solar, Sales, Excel","Energy Storage, Renewable Energy, Built Environment"
Corporate Counsel,Voltus,Remote,Associate,,,Associate's (required),1,FALSE,Lever API,https://jobs.lever.co/voltus/44150655-20d1-4958-94cb-40c7dff72d1b,"Sales, Marketing, Finance",
Sales Associate (Remote),Voltus,Remote,Associate,,,,1,FALSE,Lever API,https://jobs.lever.co/voltus/e6e12da1-116e-4fa9-bb36-a6d224aaee4f,"Sustainability, Sales, Communication","Energy Storage, Renewable Energy, Electric Vehicles"
Sales Director (CAISO),Voltus,Remote,Executive,3,10,"Master's (preferred), Associate's (preferred)",1,FALSE,Lever API,https://jobs.lever.co/voltus/6e1d453b-f0e2-45a5-a442-fc7757d9a8d9,"Battery Technology, Sales, Communication","Energy Storage, Electric Vehicles, Grid & Transmission, Agriculture"
Security Engineering Intern,Voltus,Remote,Internship,1,1,"Master's (or equivalent), Bachelor's (or equivalent), Associate's",1,FALSE,Lever API,https://jobs.lever.co/voltus/c9d1b3b7-8647-4167-aa87-02c3ba68ce7e,"Python, Go, AWS, Azure, GCP, Docker, Kubernetes, CI/CD, Terraform, Communication",Supply Chain
Software Engineer,Voltus,Remote,Entry-Level,2,2,Associate's with 2+ years (required),1,FALSE,Lever API,https://jobs.lever.co/voltus/c8e44a4d-f53f-495d-835e-749f1d55d109,"Python, Go, AWS, Docker, Communication",
Energy Markets Intern,Voltus,Remote,Internship,,,,1,FALSE,Lever API,https://jobs.lever.co/voltus/393be62e-9b99-4158-80ad-6a0d5b73b1c9,"Python, SQL, Project Management, Excel",Grid & Transmission
Energy Markets Intern (MISO),Voltus,Remote,Internship,,,"Master's (preferred), Associate's",1,FALSE,Lever API,https://jobs.lever.co/voltus/b7833dd8-d742-44d8-aae2-2e7de7541ce4,"Python, SQL, MATLAB, Finance, Excel",Grid & Transmission
IT System Administrator Intern,Voltus,Remote,Internship,1,1,"Master's (or equivalent), Bachelor's (or equivalent), Associate's (required)",1,FALSE,Lever API,https://jobs.lever.co/voltus/7af18b84-6567-433a-aa92-640fab747fcf,"Python, Azure, Communication",Renewable Energy
"Account Executive, Market Intelligence (Payer)",Arcadia,Remote (USA),Senior,5,5,Associate's,1,FALSE,Lever API,https://jobs.lever.co/arcadia/8c03677a-e8fc-4f41-83de-3e30de8afca8,"Sales, Product Management, Finance, Communication",
"Analyst, Customer Insights",Arcadia,Remote (USA),Entry-Level,2,2,Associate's,1,FALSE,Lever API,https://jobs.lever.co/arcadia/74e81f80-4801-42e5-a75a-da0712e2bbbb,"SQL, AWS, Data Science, Data Analysis",
